name,yearAdopted,validity,incomeTax,estateTax,transferSalesTax,directAscendingTax,directDescendingTax,collateralLineTax,nonRelativeTax,taxCompanyRealEstate,dogTax,"entertainmentTax
"
Cuarny,2019.00,2021.00,77.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,50.-,-
Cudrefin,2019.00,2020.00,59.00,1.50,50.00,100.00,100.00,100.00,100.00,50.00,100.-,10
Cugy,2017.00,2021.00,78.00,1.20,50.00,-,-,100.00,100.00,50.00,100.-,-
Curtilles,2019.00,2020.00,73.00,0.50,50.00,-,-,60.00,100.00,50.00,1.-p/Fr,-
Daillens,2018.00,2021.00,66.00,1.20,50.00,-,-,100.00,100.00,50.00,1.-p/Fr,5
Démoret,2019.00,2021.00,81.00,1.00,50.00,30.00,30.00,100.00,100.00,-,1.-p/Fr,-
Denens,2019.00,2020.00,68.00,1.00,50.00,100.00,100.00,100.00,100.00,50.00,50.-,-
Denges,2019.00,2021.00,62.00,1.00,50.00,100.00,100.00,100.00,100.00,50.00,50.-,-
Dizy,2019.00,2021.00,75.00,1.00,50.00,-,-,100.00,100.00,-,50.-,-
Dompierre,2019.00,2020.00,78.00,1.00,50.00,50.00,-,-,100.00,50.00,90.-,-
Donneloye,2019.00,2020.00,73.00,1.00,50.00,30.00,30.00,50.00,100.00,50.00,70.-,-
Duillier,2019.00,2020.00,66.00,1.00,50.00,50.00,-,100.00,100.00,50.00,1.-p/Fr,-
Dully,2019.00,2020.00,49.00,0.50,50.00,30.00,-,50.00,100.00,50.00,40.-,-
Echallens,2018.00,2021.00,72.50,1.00,50.00,50.00,50.00,100.00,100.00,50.00,70.-,-
Echandens,2019.00,2020.00,60.50,1.00,50.00,-,-,50.00,100.00,50.00,60.-,-
Echichens,2019.00,2021.00,66.00,1.00,50.00,100.00,-,100.00,100.00,50.00,50.-,-
Eclépens,2018.00,2020.00,46.00,1.00,30.00,40.00,40.00,50.00,50.00,50.00,150.-,-
Ecublens,2019.00,2022.00,62.50,1.20,50.00,50.00,50.00,100.00,100.00,50.00,100.-,10
Epalinges,2019.00,2021.00,64.50,1.00,50.00,50.00,50.00,100.00,100.00,50.00,80.-,-
Ependes,2019.00,2020.00,73.50,1.00,50.00,20.00,20.00,100.00,100.00,50.00,40.-,10
Essertes,2019.00,2020.00,71.50,1.25,50.00,50.00,50.00,100.00,100.00,50.00,60.-,10
Essertines-sur-Rolle,2019.00,2020.00,66.50,1.30,50.00,50.00,50.00,100.00,100.00,50.00,50.-,10
Essertines-sur-Yverdon,2019.00,2020.00,73.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,100.-,-
Etagnières,2019.00,2020.00,73.00,1.00,50.00,-,-,50.00,100.00,50.00,100.-,-
Etoy,2019.00,2020.00,60.00,1.00,50.00,50.00,-,100.00,100.00,50.00,50.-,10
Eysins,2019.00,2020.00,59.50,1.00,50.00,50.00,50.00,100.00,100.00,50.00,1.-p/Fr,-
Faoug,2019.00,2020.00,66.00,1.50,50.00,80.00,80.00,100.00,100.00,50.00,1.-p/Fr,-
Féchy,2019.00,2020.00,64.00,1.30,50.00,-,-,50.00,100.00,-,60.-,-
Ferreyres,2018.00,2020.00,76.00,1.00,50.00,-,-,-,-,50.00,60.-,-
Fey,2019.00,2020.00,75.00,1.00,50.00,-,-,100.00,100.00,50.00,75.-,-
Fiez,2019.00,2020.00,69.00,1.20,50.00,40.00,40.00,70.00,100.00,50.00,70.-,-
Fontaines-sur-Grandson,2019.00,2020.00,69.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,30.-,-
Forel (Lavaux),2019.00,2021.00,69.00,1.00,50.00,100.00,-,100.00,100.00,50.00,100.-,10
Founex,2019.00,2020.00,57.00,1.00,50.00,-,-,100.00,100.00,50.00,70.-,-
Froideville,2019.00,2021.00,72.00,1.25,50.00,-,-,100.00,100.00,50.00,75.-,-
Genolier,2019.00,2020.00,55.00,1.00,50.00,-,-,50.00,50.00,50.00,0.50p/Fr,-
Giez,2019.00,2021.00,66.00,1.00,50.00,40.00,40.00,100.00,100.00,50.00,20.-,-
Gilly,2019.00,2021.00,64.50,1.00,50.00,-,-,50.00,100.00,50.00,40.-,-
Gimel,2019.00,2020.00,74.50,1.20,50.00,50.00,50.00,100.00,100.00,50.00,100.-,10
Gingins,2019.00,2020.00,57.00,0.60,50.00,25.00,25.00,25.00,100.00,50.00,100.-,-
